Date,Weekday,Time,Office Hours,Brief Description,Place of Incident,Office,Site of Incident,Business Impact,Division,BU / Account affected,Line Manager,Operational Security Manager,Resolve (Hrs),Resolve (Days)
25/10/2013,FALSE,08:42,TRUE,Stolen Peripheral,Area 4,FALSE,BSN02,Significant,N&T,Electricity Supply Board,Jacqueline Schoepp  ,Quinton Claudio  ,164,6.83
06/05/2015,FALSE,11:33,TRUE,Stolen Desktop,Area 3,FALSE,SOL10,Minor,HMRC,Mercedes-Benz Uk Ltd.,Deidra Mayes  ,Van Fessenden  ,4,0.17
16/12/2015,FALSE,05:43,FALSE,Stolen RHD,Office 5,TRUE,BSN02,Minor,DNS,HSBC,Cher Welter  ,Quinton Claudio  ,92,3.83
28/02/2014,FALSE,10:50,TRUE,Lost RHD,Area 13,FALSE,MAN33,Major,BAS,HM Treasury,Tim Pinckard  ,Octavio Angert  ,272,11.33
16/04/2015,FALSE,13:32,TRUE,Stolen Desktop,Area 5,FALSE,BSN02,None,HR,Environment Agency,Ursula Bradberry  ,Jamal Lacross  ,179,7.46
27/12/2014,TRUE,05:03,FALSE,Lost Peripheral,Office 16,TRUE,BSN02,Significant,MIS,Highland Council,Gregory Bieber  ,Bob Luthy  ,38,1.58
22/08/2016,FALSE,20:24,FALSE,Stolen RHD,Area 13,FALSE,STE04,Major,Public Sector,Mercedes-Benz Uk Ltd.,Edmund Dedrick  ,Dewayne Robichaux  ,1,0.04
27/05/2015,FALSE,19:30,FALSE,Brief Descriptions,Area 18,FALSE,BSN01,Minor,N&T,PZ Cussons,Van Vautour  ,Foster Wax  ,35,1.46
11/12/2013,FALSE,11:03,TRUE,Lost Laptop,Office 6,TRUE,MAN33,Significant,DNS,Whitbread Group Plc,Cher Welter  ,Silas Wand  ,229,9.54
31/05/2015,TRUE,08:27,FALSE,Lost Laptop,Office 12,TRUE,LON22,None,Private Sector,UK Border Agency,Voncile Mountain  ,Mitch Landa  ,89,3.71
24/09/2011,TRUE,07:05,FALSE,Lost Peripheral,Area 10,FALSE,WAK01,Major,Unknown,High Speed 2 Ltd.,Edmund Dedrick  ,Silas Wand  ,65,2.71
20/06/2014,FALSE,03:11,FALSE,Lost Desktop,Office 8,TRUE,SOL10,Minor,"Commercial, Legal",NI Library Authority,Jacob Carillo  ,Raul Holmquist  ,84,3.5
26/02/2015,FALSE,19:25,FALSE,Lost Peripheral,Area 2,FALSE,MAN33,Minor,HMRC,High Speed 2 Ltd.,Ethan Singer  ,Van Fessenden  ,52,2.17
19/12/2013,FALSE,14:57,TRUE,Stolen Laptop,Office 14,TRUE,BSN01,Minor,HR,Post Office Ltd,Babette Garriott  ,Sterling Raske  ,6,0.25
01/05/2013,FALSE,00:49,FALSE,Unsecured Cabinet,Office 19,TRUE,MAN34,None,"Commercial, Legal",Virgin Money,Abel Liss  ,Octavio Angert  ,32,1.33
31/07/2014,FALSE,16:16,TRUE,Unsecured Cabinet,Office 18,TRUE,MAN33,Minor,Public Sector,G4S Plc,Jacob Carillo  ,Foster Wax  ,456,19
15/04/2014,FALSE,16:04,TRUE,Suspicious Character,Office 14,TRUE,BRA07,Significant,Business Operations,McDonalds Restaurants Ltd.,Chet Swedberg  ,Dewayne Robichaux  ,358,14.92
14/06/2012,FALSE,17:29,TRUE,Lost RHD,Office 18,TRUE,EDI06,Minor,Business Operations,Virgin Money,Migdalia Schmitt  ,Leonardo Mcclane  ,164,6.83
16/03/2015,FALSE,13:14,TRUE,Broken Window,Office 2,TRUE,SOL10,Minor,Other (specify),Police Service of Northern Ireland,Van Vautour  ,Jamal Lacross  ,127,5.29
07/02/2015,TRUE,08:45,FALSE,Lost USB drive,Office 8,TRUE,CRE02,Significant,MIS,High Speed 2 Ltd.,Arlena Pierpont  ,Quinton Claudio  ,43,1.79
16/08/2015,TRUE,14:45,FALSE,Unauthorised Access,Area 12,FALSE,SOL10,None,Private Sector,Primark,Migdalia Schmitt  ,Mary Clowers  ,43,1.79
11/09/2013,FALSE,06:37,FALSE,Lost USB drive,Area 12,FALSE,TEL15,Minor,TPG,Ministry of Defence - MoD,Jacob Carillo  ,Bob Luthy  ,132,5.5
10/11/2015,FALSE,17:58,TRUE,Stolen Desktop,Office 16,TRUE,MAN34,Major,HMRC,HSBC,Migdalia Schmitt  ,Raymon Currie  ,60,2.5
03/05/2017,FALSE,05:28,FALSE,Lost USB drive,Office 2,TRUE,MAN33,Major,DNS,NI Education & Library Boards,Danyelle Golub  ,Raul Holmquist  ,91,3.79
13/08/2014,FALSE,03:03,FALSE,Stolen Laptop,Office 9,TRUE,WAK01,Major,ROI,Cambridgeshire County Council,Yasuko Manigault  ,Douglass Dill  ,121,5.04
18/11/2011,FALSE,08:25,TRUE,Lost Peripheral,Area 4,FALSE,BRA07,Significant,HMRC,Home Group Limited,Darline Goodwill  ,Pasquale Sonntag  ,203,8.46
11/04/2012,FALSE,21:42,FALSE,Stolen Desktop,Office 20,TRUE,WAR08,None,HMRC,Post Office Ltd,Harry Hoke  ,Mary Clowers  ,174,7.25
10/08/2014,TRUE,19:33,FALSE,Unsecured Cabinet,Office 19,TRUE,BRA07,None,HMRC,NI Library Authority,Voncile Mountain  ,Quinton Claudio  ,195,8.13
26/06/2014,FALSE,15:31,TRUE,Stolen RHD,Office 14,TRUE,MAN35,None,N&T,G4S Plc,Marisa Anchondo  ,Bob Luthy  ,213,8.88
15/02/2017,FALSE,13:26,TRUE,Lost Desktop,Unknown,FALSE,BSN01,Significant,Public Sector,Halfords Ltd.,Tanner Pecor  ,Jamal Lacross  ,125,5.21
20/05/2015,FALSE,19:14,FALSE,Unauthorised Access,Office 4,TRUE,WAR03,Minor,Marketing,Cambridgeshire County Council,Cecil Royse  ,Foster Wax  ,118,4.92
29/10/2013,FALSE,02:29,FALSE,Lost RHD,Area 2,FALSE,MAN33,Significant,BAS,Ford Motor Company ltd,Renato Boos  ,Silas Wand  ,45,1.88
23/10/2014,FALSE,05:26,FALSE,Lost Desktop,Office 14,TRUE,SWN03,Minor,HR,Dublin City Council,Stanley Bosch  ,Raul Holmquist  ,108,4.5
29/05/2015,FALSE,22:04,FALSE,Stolen Peripheral,Office 8,TRUE,MAN35,Significant,Marketing,British American Tobacco Plc,Neta Veres  ,Raymon Currie  ,58,2.42
29/01/2021,FALSE,18:00,TRUE,Unsecured Cabinet,Office 9,TRUE,SOL20,Major,DNS,HPC Wales,Jacob Carillo  ,Mitch Landa  ,89,3.71
22/03/2014,TRUE,07:30,FALSE,Lost Peripheral,Office 2,TRUE,WAR08,Minor,ROI,Cabinet Office,Darline Goodwill  ,Leonardo Mcclane  ,265,11.04
13/01/2015,FALSE,13:51,TRUE,Unsecured PM Document,Area 11,FALSE,BRA07,Major,N&T,NI Education & Library Boards,Edmund Dedrick  ,Lyle Griswold  ,43,1.79
25/01/2016,FALSE,20:09,FALSE,Lost RHD,Office 16,TRUE,MAN35,Minor,Finance & Strategy,Halfords Ltd.,Efrain Hauk  ,Van Fessenden  ,49,2.04
24/07/2014,FALSE,18:46,TRUE,Stolen USB drive,Area 2,FALSE,WAR03,None,HMRC,Highland Council,Van Vautour  ,Mary Clowers  ,82,3.42
09/06/2016,FALSE,06:30,FALSE,Suspicious Character,Office 12,TRUE,MAN34,None,Private Sector,Halfords Ltd.,Babette Garriott  ,Mitch Landa  ,91,3.79
16/01/2015,FALSE,00:12,FALSE,Stolen RHD,Office 19,TRUE,SOL20,Significant,MIS,Alliance Boots plc,Tim Pinckard  ,Silas Wand  ,89,3.71
01/03/2014,TRUE,03:41,FALSE,Unsecured PM Document,Area 2,FALSE,SOL10,Significant,HR,Police Service of Northern Ireland,Chae Sather  ,Quinton Claudio  ,67,2.79
03/01/2013,FALSE,23:41,FALSE,Lost Peripheral,Area 6,FALSE,BSN01,Minor,Business Operations,Ford Motor Company ltd,Wynona Tonkin  ,Mitch Landa  ,46,1.92
07/02/2017,FALSE,19:12,FALSE,Broken Window,Office 15,TRUE,BSN02,None,"Commercial, Legal",PZ Cussons,Nick Carter  ,Mitch Landa  ,176,7.33
30/05/2016,FALSE,05:29,FALSE,Stolen Laptop,Office 18,TRUE,MAN34,Minor,MIS,Cambridgeshire County Council,Jacob Carillo  ,Foster Wax  ,52,2.17
30/12/2013,FALSE,17:36,TRUE,Unauthorised Access,Office 1,TRUE,SOL20,None,DNS,McDonalds Restaurants Ltd.,Darline Goodwill  ,Raymon Currie  ,26,1.08
30/09/2015,FALSE,02:26,FALSE,Lost Laptop,Area 4,FALSE,MAN34,Minor,HMRC,HSBC,Elenore Pentz  ,Van Fessenden  ,87,3.63
08/05/2015,FALSE,04:28,FALSE,Staff with no pass,Office 19,TRUE,Unknown,None,Public Sector,Cambridgeshire County Council,Babette Garriott  ,Sterling Raske  ,170,7.08
23/12/2013,FALSE,16:52,TRUE,Stolen Peripheral,Office 17,TRUE,WAK01,Minor,Public Sector,KFC,Jacqueline Schoepp  ,Lyle Griswold  ,72,3
28/12/2012,FALSE,16:24,TRUE,Tailgating,Area 3,FALSE,MAN33,Significant,Public Sector,Reading Borough Council,Chet Swedberg  ,Douglass Dill  ,44,1.83
30/11/2013,TRUE,18:20,FALSE,Unsecured Cabinet,Area 10,FALSE,SOL20,None,HMRC,NI Water,Alva Cha  ,Quinton Claudio  ,18,0.75
01/01/2016,FALSE,23:44,FALSE,Stolen Desktop,Area 11,FALSE,MAN35,Major,ROI,Virgin Money,Marlin Southwood  ,Mitch Landa  ,148,6.17
02/10/2016,TRUE,08:26,FALSE,Lost RHD,Office 11,TRUE,WAR08,Minor,Business Operations,Home Group Limited,Marisa Anchondo  ,Quinton Claudio  ,73,3.04
09/08/2014,TRUE,17:48,FALSE,Unsecured PM Document,Office 20,TRUE,TEL15,None,Business Operations,Office for National Statistics,Candra Snowball  ,Pasquale Sonntag  ,79,3.29
29/08/2014,FALSE,05:36,FALSE,Stolen Peripheral,Office 15,TRUE,STE04,Significant,MIS,KFC,Danyelle Golub  ,Pasquale Sonntag  ,94,3.92
06/01/2015,FALSE,01:35,FALSE,Stolen RHD,Area 5,FALSE,SOL10,Significant,BAS,Halfords Ltd.,Voncile Mountain  ,Sterling Raske  ,78,3.25
26/11/2013,FALSE,10:11,TRUE,Tailgating,Office 16,TRUE,MAN34,None,Private Sector,HM Treasury,Bret Orosz  ,Leonardo Mcclane  ,126,5.25
08/01/2014,FALSE,00:24,FALSE,Lost USB drive,Office 16,TRUE,WAK01,Minor,ROI,Balfour Beatty Group Ltd.,Cher Welter  ,Leonardo Mcclane  ,68,2.83
30/12/2012,TRUE,13:33,FALSE,Unsecured PM Document,Office 19,TRUE,SOL20,Minor,MIS,Ministry of Defence - MoD,Suzan Bogert  ,Rueben Bosarge  ,63,2.63
08/05/2017,FALSE,11:15,TRUE,Lost USB drive,Area 4,FALSE,STE10,Minor,N&T,Office for National Statistics,Rodney Bastin  ,Sterling Raske  ,162,6.75
27/06/2012,FALSE,11:07,TRUE,Unsecured PM Document,Office 18,TRUE,BRA07,Minor,MIS,Alliance Boots plc,Cher Welter  ,Leonardo Mcclane  ,44,1.83
20/02/2016,TRUE,04:45,FALSE,Lost Laptop,Reception,FALSE,MAN33,None,Public Sector,Reading Borough Council,Vivan Truelove  ,Raul Holmquist  ,48,2
05/11/2012,FALSE,09:37,TRUE,Lost USB drive,Area 5,FALSE,WAR08,None,HMRC,Vodafone Plc Government,Babette Garriott  ,Damion Hope  ,108,4.5
30/11/2013,TRUE,15:47,FALSE,Lost Desktop,Office 10,TRUE,STE10,Significant,HR,Southeastern,Araceli Urena  ,Dewayne Robichaux  ,130,5.42
09/07/2014,FALSE,11:34,TRUE,Tailgating,Office 20,TRUE,BRA07,Significant,HMRC,Specsavers,Ethan Singer  ,Dewayne Robichaux  ,157,6.54
19/07/2013,FALSE,11:24,TRUE,Stolen RHD,Area 12,FALSE,BSN02,Minor,Private Sector,Ford Motor Company ltd,Arlena Pierpont  ,Pablo Gowers  ,80,3.33
24/06/2014,FALSE,22:01,FALSE,Stolen USB drive,Office 17,TRUE,EDI06,Major,Business Operations,Ford Motor Company ltd,Suzan Bogert  ,Douglass Dill  ,60,2.5
14/05/2016,TRUE,12:53,FALSE,Stolen Peripheral,Office 16,TRUE,STE10,Minor,MIS,Reading Borough Council,Gregory Bieber  ,Pasquale Sonntag  ,26,1.08
30/10/2012,FALSE,03:10,FALSE,Lost Peripheral,Reception,FALSE,WAR08,Minor,Private Sector,HM Treasury,Tim Pinckard  ,Bob Luthy  ,127,5.29
23/01/2015,FALSE,01:22,FALSE,Staff with no pass,Office 3,TRUE,STE10,Significant,N&T,HPC Wales,Lucio Siniard  ,Foster Wax  ,53,2.21
21/03/2015,TRUE,03:33,FALSE,Lost USB drive,Office 9,TRUE,WAK01,None,Finance & Strategy,Mercedes-Benz Uk Ltd.,Wilbur Tienda  ,Pasquale Sonntag  ,4,0.17
14/09/2014,TRUE,17:22,FALSE,Stolen Peripheral,Office 15,TRUE,STE10,Major,MIS,Bridgestone UK,Tim Pinckard  ,Rueben Bosarge  ,20,0.83
18/06/2015,FALSE,14:31,TRUE,Brief Descriptions,Office 7,TRUE,WAR03,Major,Private Sector,Virgin Money,Neta Veres  ,Raymon Currie  ,47,1.96
22/01/2015,FALSE,13:18,TRUE,Unsecured PM Document,Office 17,TRUE,CRE02,Minor,MIS,G4S Plc,Shila Bentler  ,Foster Wax  ,94,3.92
04/04/2018,FALSE,06:18,FALSE,Lost RHD,Area 6,FALSE,BSN01,None,Finance & Strategy,KFC,Cecille Haubert  ,Pasquale Sonntag  ,45,1.88
02/04/2014,FALSE,04:42,FALSE,Unsecured PM Document,Office 20,TRUE,BSN02,Minor,HR,HPC Wales,Neta Veres  ,Leonardo Mcclane  ,208,8.67
26/10/2014,TRUE,00:53,FALSE,Lost RHD,Office 19,TRUE,BRA07,Significant,MIS,Electricity Supply Board,Jacqueline Schoepp  ,Jamal Lacross  ,124,5.17
27/08/2014,FALSE,05:16,FALSE,Stolen USB drive,Area 1,FALSE,MAN33,Minor,DNS,Mercedes-Benz Uk Ltd.,Candra Snowball  ,Rueben Bosarge  ,253,10.54
26/10/2012,FALSE,13:52,TRUE,Stolen USB drive,Area 4,FALSE,MAN35,Major,Public Sector,HM Treasury,Arlena Pierpont  ,Quinton Claudio  ,132,5.5
10/10/2015,TRUE,20:51,FALSE,Stolen RHD,Office 14,TRUE,STE10,Significant,HMRC,NI Education & Library Boards,Chet Swedberg  ,Douglass Dill  ,391,16.29
12/05/2012,TRUE,18:40,FALSE,Stolen Desktop,Office 19,TRUE,CRE02,Minor,Unknown,Police Service of Northern Ireland,Rodney Bastin  ,Mary Clowers  ,46,1.92
27/08/2015,FALSE,18:24,TRUE,Stolen Desktop,Office 5,TRUE,WAK01,Minor,MIS,Post Office Ltd,Cecil Royse  ,Raul Holmquist  ,87,3.63
30/09/2016,FALSE,22:23,FALSE,Stolen USB drive,Office 17,TRUE,SOL20,Minor,Business Operations,Bridgestone UK,Cher Welter  ,Foster Wax  ,124,5.17
30/05/2015,TRUE,13:33,FALSE,Unauthorised Access,Area 4,FALSE,SOL10,None,HR,Home Group Limited,Len Clyburn  ,Octavio Angert  ,112,4.67
01/09/2013,TRUE,17:10,FALSE,Unsecured Cabinet,Office 19,TRUE,WAR03,Significant,MIS,HSBC,Elenore Pentz  ,Pablo Gowers  ,104,4.33
24/03/2015,FALSE,15:52,TRUE,Stolen Laptop,Area 2,FALSE,BSN01,None,Business Operations,Home Group Limited,Yasuko Manigault  ,Mary Clowers  ,5,0.21
18/05/2016,FALSE,09:26,TRUE,Lost Laptop,Office 20,TRUE,BSN02,None,HMRC,Halfords Ltd.,Cher Welter  ,Douglass Dill  ,128,5.33
19/06/2014,FALSE,02:23,FALSE,Brief Descriptions,Canteen,FALSE,SOL10,Significant,Public Sector,NI Library Authority,Juan Bernett  ,Mary Clowers  ,36,1.5
10/03/2013,TRUE,16:07,FALSE,Unsecured Cabinet,Area 10,FALSE,STE10,Minor,N&T,Police Service of Northern Ireland,Rodney Bastin  ,Raul Holmquist  ,84,3.5
19/04/2014,TRUE,03:11,FALSE,Suspicious Character,Area 2,FALSE,SOL20,Major,MIS,Cabinet Office,Arlena Pierpont  ,Raul Holmquist  ,207,8.63
29/07/2011,FALSE,07:21,TRUE,Suspicious Character,Area 8,FALSE,STE04,Major,Other (specify),Cabinet Office,Raphael Arledge  ,Raymon Currie  ,35,1.46
09/02/2016,FALSE,03:35,FALSE,Unsecured PM Document,Office 17,TRUE,STE04,None,Public Sector,MOD - DFTS,Elenore Pentz  ,Silas Wand  ,42,1.75
21/03/2013,FALSE,20:52,FALSE,Broken Window,Area 5,FALSE,MAN33,None,N&T,High Speed 2 Ltd.,Neta Veres  ,Sterling Raske  ,6,0.25
02/12/2013,FALSE,16:11,TRUE,Stolen RHD,Office 15,TRUE,BSN02,None,HMRC,Specsavers,Fallon Planas  ,Lyle Griswold  ,50,2.08
04/12/2014,FALSE,08:17,TRUE,Lost USB drive,Area 11,FALSE,SOL10,Significant,N&T,High Speed 2 Ltd.,Raphael Arledge  ,Douglass Dill  ,39,1.63
14/03/2014,FALSE,21:03,FALSE,Stolen Peripheral,Area 6,FALSE,SOL20,Minor,MIS,Southeastern,Tim Pinckard  ,Sterling Raske  ,157,6.54
18/02/2014,FALSE,00:36,FALSE,Stolen Laptop,Office 9,TRUE,BRA07,Major,Public Sector,Cabinet Office,Suzan Bogert  ,Sterling Raske  ,157,6.54
31/01/2016,TRUE,03:35,FALSE,Stolen RHD,Office 18,TRUE,EDI06,None,Private Sector,Southeastern,Chantel Lemaire  ,Damion Hope  ,48,2
25/03/2014,FALSE,15:19,TRUE,Stolen Laptop,Area 13,FALSE,EDI06,None,BAS,Primark,Cecille Haubert  ,Foster Wax  ,204,8.5
06/11/2014,FALSE,00:14,FALSE,Stolen Laptop,Office 19,TRUE,MAN33,Minor,Public Sector,NI Water,Babette Garriott  ,Rueben Bosarge  ,50,2.08
19/12/2013,FALSE,10:00,TRUE,Unsecured Cabinet,Area 9,FALSE,STE04,Major,HR,NI Water,Suzan Bogert  ,Rueben Bosarge  ,54,2.25
17/11/2011,FALSE,14:15,TRUE,Stolen Peripheral,Office 13,TRUE,BSN02,None,HMRC,Specsavers,Neta Veres  ,Mitch Landa  ,128,5.33
15/03/2012,FALSE,16:04,TRUE,Lost USB drive,Office 11,TRUE,BRA07,Minor,Public Sector,Post Office Ltd,Jacqueline Schoepp  ,Lyle Griswold  ,86,3.58
27/11/2013,FALSE,15:11,TRUE,Stolen Peripheral,Office 4,TRUE,BSN01,None,Marketing,Police Service of Northern Ireland,Bret Orosz  ,Bob Luthy  ,196,8.17
19/06/2012,FALSE,05:37,FALSE,Unsecured Cabinet,Canteen,FALSE,MAN35,Significant,Private Sector,British American Tobacco Plc,Wallace Truett  ,Sterling Raske  ,83,3.46
07/09/2014,TRUE,21:19,FALSE,Stolen Desktop,Area 15,FALSE,SWN03,None,Public Sector,PZ Cussons,China Thurlow  ,Sterling Raske  ,141,5.88
20/04/2014,TRUE,03:46,FALSE,Stolen USB drive,Area 4,FALSE,MAN35,Significant,BAS,Mercedes-Benz Uk Ltd.,Migdalia Schmitt  ,Damion Hope  ,22,0.92
28/02/2015,TRUE,16:21,FALSE,Unsecured Cabinet,Area 2,FALSE,SOL20,Minor,N&T,Cabinet Office,Ursula Bradberry  ,Bob Luthy  ,59,2.46
17/04/2014,FALSE,18:27,TRUE,Unsecured Cabinet,Office 9,TRUE,WAR08,Minor,Private Sector,NI Library Authority,Renato Boos  ,Sterling Raske  ,74,3.08
07/05/2015,FALSE,17:28,TRUE,Tailgating,Office 19,TRUE,BSN02,None,N&T,Specsavers,Kiera Lickteig  ,Rueben Bosarge  ,174,7.25
31/07/2014,FALSE,21:50,FALSE,Lost USB drive,Area 14,FALSE,EDI06,Major,ROI,Police Service of Northern Ireland,Deidra Mayes  ,Dewayne Robichaux  ,80,3.33
03/05/2014,TRUE,23:11,FALSE,Lost Desktop,Area 4,FALSE,MAN35,None,ROI,HM Treasury,Migdalia Schmitt  ,Pablo Gowers  ,104,4.33
29/09/2015,FALSE,20:23,FALSE,Lost Desktop,Office 16,TRUE,SOL10,Significant,HR,Heathrow Airport Limited,Cecille Haubert  ,Silas Wand  ,213,8.88
22/11/2013,FALSE,14:44,TRUE,Stolen USB drive,Office 6,TRUE,STE04,Major,MIS,G4S Plc,Renato Boos  ,Bob Luthy  ,225,9.38
05/05/2013,TRUE,19:04,FALSE,Stolen Laptop,Area 13,FALSE,SOL20,None,HMRC,Cabinet Office,Santina Mayr  ,Jamal Lacross  ,74,3.08
27/07/2014,TRUE,09:15,FALSE,Unsecured Cabinet,Office 9,TRUE,MAN34,None,"Commercial, Legal",British American Tobacco Plc,Marlin Southwood  ,Foster Wax  ,36,1.5
30/12/2013,FALSE,03:14,FALSE,Stolen Peripheral,Office 7,TRUE,TEL15,None,"Commercial, Legal",Reading Borough Council,Vivan Truelove  ,Dewayne Robichaux  ,137,5.71
15/06/2016,FALSE,03:14,FALSE,Stolen RHD,Office 9,TRUE,MAN34,Significant,HR,Office for National Statistics,Yasuko Manigault  ,Lyle Griswold  ,153,6.38
27/12/2015,TRUE,15:54,FALSE,Lost Desktop,Office 7,TRUE,MAN34,Minor,ROI,Specsavers,Tanner Pecor  ,Lyle Griswold  ,9,0.38
07/10/2015,FALSE,05:46,FALSE,Lost Desktop,Office 19,TRUE,MAN34,Major,Private Sector,British American Tobacco Plc,Neta Veres  ,Pasquale Sonntag  ,91,3.79
04/08/2016,FALSE,20:46,FALSE,Lost Peripheral,Office 4,TRUE,SWN03,Minor,Finance & Strategy,Highland Council,Raphael Arledge  ,Quinton Claudio  ,57,2.38
01/11/2014,TRUE,17:34,FALSE,Lost Peripheral,Office 15,TRUE,MAN35,None,N&T,MOD - DFTS,Jacqueline Schoepp  ,Lyle Griswold  ,176,7.33
06/02/2017,FALSE,11:10,TRUE,Brief Descriptions,Area 1,FALSE,BSN02,None,MIS,Environment Agency,Marlin Southwood  ,Mary Clowers  ,65,2.71
05/02/2017,TRUE,11:44,FALSE,Stolen Desktop,Office 20,TRUE,MAN35,Major,N&T,MOD - DFTS,Cecil Royse  ,Damion Hope  ,51,2.13
11/06/2014,FALSE,04:12,FALSE,Stolen Peripheral,Office 12,TRUE,BSN02,None,N&T,Virgin Money,Efrain Hauk  ,Quinton Claudio  ,218,9.08
22/12/2013,TRUE,18:42,FALSE,Stolen Laptop,Area 1,FALSE,MAN33,None,Finance & Strategy,Vodafone Plc Government,Kiera Lickteig  ,Sterling Raske  ,19,0.79
29/12/2014,FALSE,04:09,FALSE,Stolen Desktop,Area 1,FALSE,BRA01,Minor,Public Sector,NI Library Authority,Raphael Arledge  ,Quinton Claudio  ,82,3.42
16/07/2016,TRUE,10:34,FALSE,Suspicious Character,Area 6,FALSE,BSN02,Major,ROI,Electricity Supply Board,Marisa Anchondo  ,Raymon Currie  ,34,1.42
29/03/2015,TRUE,17:04,FALSE,Unsecured PM Document,Office 10,TRUE,STE04,None,Private Sector,Highland Council,Elenore Pentz  ,Damion Hope  ,124,5.17
25/11/2014,FALSE,01:56,FALSE,Lost Desktop,Office 17,TRUE,EDI06,None,TPG,MOD - DFTS,Cecil Royse  ,Pablo Gowers  ,74,3.08
03/12/2012,FALSE,05:59,FALSE,Tailgating,Office 19,TRUE,MAN33,None,TPG,Electricity Supply Board,Juan Bernett  ,Foster Wax  ,44,1.83
12/03/2013,FALSE,04:06,FALSE,Stolen USB drive,Office 16,TRUE,MAN35,None,MIS,Cabinet Office,Efrain Hauk  ,Quinton Claudio  ,53,2.21
22/02/2012,FALSE,16:21,TRUE,Unauthorised Access,Office 18,TRUE,SOL10,Minor,Private Sector,G4S Plc,Renato Boos  ,Mary Clowers  ,113,4.71
27/07/2014,TRUE,21:27,FALSE,Unauthorised Access,Area 10,FALSE,BSN02,Major,HR,UK Border Agency,Migdalia Schmitt  ,Dewayne Robichaux  ,60,2.5
12/07/2014,TRUE,11:07,FALSE,Stolen Laptop,Area 19,FALSE,MAN33,Significant,HR,Bridgestone UK,Arlena Pierpont  ,Mary Clowers  ,172,7.17
19/06/2014,FALSE,20:10,FALSE,Stolen Desktop,Office 19,TRUE,BSN02,Major,Public Sector,NI Water,Juan Bernett  ,Quinton Claudio  ,188,7.83
05/10/2013,TRUE,16:14,FALSE,Stolen Laptop,Area 5,FALSE,BRA07,Minor,N&T,Virgin Money,Darline Goodwill  ,Lyle Griswold  ,66,2.75
03/03/2014,FALSE,19:30,FALSE,Stolen Laptop,Area 1,FALSE,EDI06,None,HR,Whitbread Group Plc,Babette Garriott  ,Pasquale Sonntag  ,177,7.38
25/11/2013,FALSE,15:55,TRUE,Tailgating,Office 7,TRUE,STE10,None,Business Operations,Primark,Jacqueline Schoepp  ,Mary Clowers  ,46,1.92
23/02/2016,FALSE,21:36,FALSE,Stolen RHD,Area 11,FALSE,BSN02,Minor,Business Operations,Primark,Danyelle Golub  ,Foster Wax  ,41,1.71
12/09/2014,FALSE,01:15,FALSE,Lost RHD,Area 1,FALSE,SOL20,Significant,HR,KFC,Stanley Bosch  ,Bob Luthy  ,37,1.54
09/08/2014,TRUE,09:36,FALSE,Stolen RHD,Area 12,FALSE,BSN01,Minor,HMRC,Electricity Supply Board,Shila Bentler  ,Leonardo Mcclane  ,124,5.17
12/06/2013,FALSE,01:29,FALSE,Suspicious Character,Office 19,TRUE,SOL10,Major,N&T,Police Service of Northern Ireland,Chet Swedberg  ,Douglass Dill  ,1,0.04
18/04/2015,TRUE,03:36,FALSE,Stolen Peripheral,Area 18,FALSE,WAK01,None,"Commercial, Legal",Heathrow Airport Limited,Araceli Urena  ,Van Fessenden  ,79,3.29
28/12/2013,TRUE,19:27,FALSE,Lost Desktop,Unknown,FALSE,BRA07,Minor,Other (specify),Halfords Ltd.,Marlin Southwood  ,Sterling Raske  ,199,8.29
26/02/2013,FALSE,04:49,FALSE,Lost Desktop,Office 15,TRUE,BSN02,None,Other (specify),Post Office Ltd,Will Stahly  ,Mitch Landa  ,94,3.92
05/06/2013,FALSE,11:07,TRUE,Stolen Laptop,Office 2,TRUE,CRE02,Major,HMRC,Ministry of Defence - MoD,Marlin Southwood  ,Sterling Raske  ,30,1.25
18/11/2016,FALSE,13:37,TRUE,Stolen USB drive,Office 8,TRUE,WAR08,Significant,N&T,Electricity Supply Board,Kiera Lickteig  ,Dewayne Robichaux  ,49,2.04
29/04/2016,FALSE,20:36,FALSE,Stolen Laptop,Area 2,FALSE,BSN01,Minor,HR,KFC,Stanley Bosch  ,Leonardo Mcclane  ,199,8.29
16/02/2015,FALSE,06:16,FALSE,Stolen Desktop,Office 19,TRUE,STE10,Significant,Other (specify),Highland Council,Will Stahly  ,Jamal Lacross  ,114,4.75
13/10/2014,FALSE,02:15,FALSE,Lost Laptop,Office 12,TRUE,SOL20,None,HR,G4S Plc,Wilbur Tienda  ,Damion Hope  ,44,1.83
08/04/2016,FALSE,22:34,FALSE,Lost Laptop,Area 16,FALSE,STE10,None,ROI,NI Education & Library Boards,Wesley Kitt  ,Pasquale Sonntag  ,35,1.46
15/07/2012,TRUE,07:47,FALSE,Stolen Laptop,Area 1,FALSE,MAN35,Significant,DNS,Highland Council,Vance Mcmanis  ,Octavio Angert  ,343,14.29
04/12/2013,FALSE,09:35,TRUE,Stolen USB drive,Office 14,TRUE,MAN33,None,N&T,G4S Plc,Nick Carter  ,Jamal Lacross  ,28,1.17
13/09/2014,TRUE,21:32,FALSE,Stolen RHD,Office 10,TRUE,MAN33,None,Finance & Strategy,Vodafone Plc Government,Shila Bentler  ,Dewayne Robichaux  ,105,4.38
